姓名			电话号码			当前话费			运营商			开户时间			当前状态
zwy			15890632278			160.8			移动			2020-06-22 15:26:33			正在使用
zfj			13501926368			32.5			电信			2020-08-24 12:44:43			正在使用
cx			13108065702			15.3			移动			2020-05-12 15:26:45			正在使用
dhf			13200544741			22.6			电信			2020-11-23 14:34:13			正在使用
张三			15003851926			50.0			联通			2020-12-31 10:40:46			正在使用
ssss			15902123345			50.0			电信			2020-12-31 10:51:06			已注销
ccc			15706744929			50.0			联通			2021-01-04 08:43:30			已注销
姓名			电话号码			当前话费			运营商			开户时间			当前状态
zwy			15890632278			78.8			移动			2020-06-22 15:26:33			正在使用
zfj			13401737642			32.5			联通			2020-08-24 12:44:43			正在使用
zx			15037856340			15.3			移动			2020-05-12 15:26:45			已注销
dhf			15507998078			22.6			联通			2020-11-23 14:34:13			正在使用
cv			15904861462			50.0			电信			2021-01-07 10:55:02			正在使用
